Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
8,1,31,TOVPlayerAttack,Default Attack against 23,30.803,46
8,2,30,TOVPlayerUseCard,Played the card: Life tap,38.338,46
8,0,16,TOVPlayerUseCard,Played the card: Empower,21.183,47
8,1,30,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",31.285,47
8,2,28,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",43.452,47
8,0,14,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",21.498,48
8,1,30,TOVPlayerUseCard,Played the card: Dazzle,31.779,48
8,2,28,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",44.039,48
8,0,11,TOVPlayerUseCard,Played the card: Cleave,21.803,49
8,1,30,TOVPlayerUseCard,Played the card: Taunt,32.337,49
